DEPTH,GR,RHOB,RT
7653.5,37.45,2.364,22.11
7654,38.34,2.366,21.096
7654.5,39.22,2.368,18.113
7655,39.5,2.369,20.143
7655.5,39.79,2.37,18.679
7656,39.27,2.369,19.939
7656.5,38.74,2.367,19.232
7657,36.44,2.362,21.331
7657.5,34.13,2.357,25.589
7658,33.19,2.354,26.26
7658.5,32.25,2.352,33.129
7659,33.22,2.355,28.688
7659.5,34.19,2.357,24.963
7660,31.59,2.351,31.093
7660.5,29,2.345,38.115
7661,29.98,2.347,39.48
7661.5,30.95,2.35,32.596
7662,33.94,2.356,25.811
7662.5,36.93,2.363,22.141
7663,35.81,2.36,22.552
7663.5,34.7,2.358,27.641
7664,35.79,2.36,23.312
7664.5,36.89,2.363,22.151
7665,40.09,2.371,17.525
7665.5,43.29,2.378,15.01
7666,43.54,2.379,14.624
7666.5,43.79,2.38,16.192
7667,42.36,2.376,15.515
7667.5,40.94,2.373,18.715
7668,39.94,2.37,18.902
7668.5,38.94,2.368,19.143
7669,38.82,2.368,19.753
7669.5,38.7,2.367,19.781
7670,40.08,2.371,17.96
7670.5,41.47,2.374,16.98
7671,41.65,2.374,15.9
7671.5,41.83,2.375,18.329
7672,41.22,2.373,16.412
7672.5,40.62,2.372,19.17
7673,39.51,2.369,19.863
7673.5,64.11,2.434,8.597
7674,84.47,2.488,8.469
7674.5,93.3,2.511,11.849
7675,102.14,2.536,19.187
7675.5,102.83,2.539,21.287
7676,103.53,2.541,19.221
7676.5,102.28,2.537,19.292
7677,101.04,2.533,13.788
7677.5,102.26,2.537,14.965
7678,103.49,2.541,17.171
7678.5,103.16,2.54,17.656
7679,102.83,2.539,12.73
7679.5,100.64,2.532,15.152
7680,98.44,2.525,13.322
7680.5,100.44,2.531,13.724
7681,102.43,2.537,16.24
7681.5,102.79,2.539,15.423
7682,103.15,2.54,14.173
7682.5,102.47,2.537,16.776
7683,101.8,2.535,18.259
7683.5,102.07,2.536,15.043
7684,102.33,2.537,17.666
7684.5,103.49,2.541,14.683
7685,104.66,2.545,18.867
7685.5,104.81,2.545,15.79
7686,104.96,2.546,20.394
7686.5,103.72,2.542,19.435
7687,102.49,2.538,19.42
7687.5,101.07,2.533,11.761
7688,99.65,2.529,11.388
7688.5,100.7,2.532,16.362
7689,101.74,2.535,12.962
7689.5,102.71,2.538,18.164
7690,103.67,2.541,19.002
7690.5,103.12,2.54,19.897
7691,102.56,2.538,19.073
7691.5,105.02,2.546,18.186
7692,107.47,2.555,18.397
7692.5,108.15,2.558,29.447
7693,108.83,2.561,30.677
7693.5,110.67,2.568,39.728
7694,112.5,2.577,41.928
7694.5,110.96,2.57,30.569
7695,109.43,2.563,22.396
7695.5,108.13,2.558,29.143
7696,106.83,2.553,23.186
7696.5,104.69,2.545,15.48
7697,102.54,2.538,15.627
7697.5,103.94,2.542,17.884
7698,105.33,2.547,18.159
7698.5,107.4,2.555,19.149
7699,109.46,2.563,32.472
7699.5,108.47,2.559,28.417
7700,107.48,2.555,24.209
7700.5,106.13,2.55,24.666
7701,104.79,2.545,17.261
7701.5,105.66,2.548,17.31
7702,106.54,2.552,25.488
7702.5,105.19,2.547,22.463
7703,103.85,2.542,16.344
7703.5,104.44,2.544,20.984
7704,105.04,2.546,22.433
7704.5,106.87,2.553,22.671
7705,108.7,2.56,23.884
7705.5,109.04,2.562,26.317
7706,109.37,2.563,24.797
7706.5,108.85,2.561,32.523
7707,108.32,2.559,28.783
7707.5,107.46,2.555,23.85
7708,106.59,2.552,24.437
7708.5,106.35,2.551,21.7
7709,106.11,2.55,26.12
7709.5,107.68,2.556,24.572
7710,109.26,2.563,24.965
7710.5,107.41,2.555,18.51
7711,105.56,2.548,17.976
7711.5,105.08,2.546,18.931
7712,104.6,2.545,17.094
7712.5,105.71,2.549,24.935
7713,106.82,2.553,21.498
7713.5,103.84,2.542,14.699
7714,100.87,2.532,16.529
7714.5,98.95,2.526,12.358
7715,97.03,2.521,15.279
7715.5,96.23,2.519,10.727
7716,95.4,2.516,10.461
7716.5,95.38,2.516,12.879
7717,95.37,2.516,9.79
7717.5,95.43,2.516,13.39
7718,95.49,2.517,10.238
7718.5,95.01,2.515,12.639
7719,94.52,2.514,13.706
7719.5,94.15,2.513,9.702
7720,93.78,2.512,9.48
7720.5,94.72,2.515,11.484
7721,95.67,2.517,10.769
7721.5,98.49,2.525,14.644
7722,101.31,2.534,14.081
7722.5,104.73,2.545,20.524
7723,108.16,2.558,28.053
7723.5,106.39,2.551,25.543
