DEPTH,GR,RHOB,RT
8496.5,106.15,2.55,22.782
8497,105.49,2.548,20.673
8497.5,101.76,2.535,14.862
8498,99.15,2.527,12.987
8498.5,96.26,2.519,13.097
8499,94.08,2.513,12.112
8499.5,89.14,2.5,8.875
8500,85.58,2.491,9.985
8500.5,81.23,2.479,9.202
8501,82.23,2.482,9.377
8501.5,81.62,2.48,7.172
8502,84.19,2.487,8.199
8502.5,86.29,2.492,8.747
8503,86.53,2.493,9.672
8503.5,91.26,2.505,11.48
8504,95.01,2.515,15.089
8504.5,93.58,2.511,14.398
8505,86.89,2.494,8.88
8505.5,80.53,2.478,10.117
8506,78.61,2.473,8.239
8506.5,75.42,2.464,8.448
8507,65.23,2.437,8.489
8507.5,81.67,2.48,8.895
8508,98.83,2.526,12.703
8508.5,109.21,2.562,25.311
8509,113.13,2.58,50.753
8509.5,116.81,2.598,99.674
8510,116.9,2.598,73.982
8510.5,115.48,2.591,64.269
8511,110.48,2.568,28.697
8511.5,108.21,2.558,23.536
8512,109.48,2.563,23.583
8512.5,110.92,2.57,24.823
8513,109.38,2.563,27.914
8513.5,110.58,2.568,33.225
8514,109.02,2.562,22.3
8514.5,111.5,2.572,36.307
8515,110.3,2.567,34.29
8515.5,110.25,2.567,31.013
8516,109.28,2.563,30.765
8516.5,110.23,2.567,25.886
8517,111.79,2.573,39.174
8517.5,112.15,2.575,32.244
8518,114.5,2.586,44.022
8518.5,116.51,2.596,63.624
8519,116.07,2.594,77.266
8519.5,111.17,2.571,25.455
8520,107.43,2.555,21.093
8520.5,107.1,2.554,26.528
8521,105.36,2.547,21.705
8521.5,104.45,2.544,18.617
8522,105.33,2.547,22.282
8522.5,109.92,2.565,23.857
8523,115.56,2.592,62.434
8523.5,117.51,2.601,119.546
8524,114.02,2.584,51.63
8524.5,108.46,2.559,29.983
8525,106.86,2.553,26.856
8525.5,109.88,2.565,28.266
8526,111.79,2.573,32.446
8526.5,111.44,2.572,31.495
8527,110.12,2.566,30.729
8527.5,110.88,2.569,32.37
8528,112.14,2.575,43.737
8528.5,108.92,2.561,25.354
8529,105.41,2.548,18.306
8529.5,105.97,2.55,18.896
8530,113.87,2.583,43.324
8530.5,117.79,2.603,111.802
8531,117.43,2.601,88.64
8531.5,116.26,2.595,70.696
8532,116.02,2.594,63.355
8532.5,116.77,2.598,95.485
8533,117.63,2.602,119.408
8533.5,117.41,2.601,93.86
8534,114.92,2.588,62.973
8534.5,111.71,2.573,41.059
8535,106.26,2.551,17.255
8535.5,102.66,2.538,15.339
8536,102.47,2.537,18.741
8536.5,107.03,2.554,18.555
8537,111,2.57,26.074
8537.5,111.04,2.57,28.798
8538,108.59,2.56,23.479
8538.5,108.65,2.56,23.745
8539,111.19,2.571,32.116
8539.5,112.58,2.577,38.596
8540,111.53,2.572,37.814
8540.5,110.28,2.567,34.433
8541,107.12,2.554,18.528
8541.5,105.52,2.548,22.024
8542,105.77,2.549,16.579
8542.5,106.8,2.553,17.508
8543,110.13,2.566,25.192
8543.5,111.22,2.571,30.159
8544,109.97,2.565,31.793
8544.5,109.94,2.565,29.341
8545,110.07,2.566,28.025
8545.5,111.81,2.574,38.836
8546,108.52,2.559,23.046
8546.5,108.39,2.559,23.06
8547,111.33,2.571,36.152
8547.5,111.93,2.574,40.266
8548,110.84,2.569,38.312
8548.5,108.51,2.559,20.203
8549,107.3,2.555,20.843
8549.5,109.61,2.564,26.244
8550,110.8,2.569,25.678
8550.5,114.57,2.587,49.819
8551,112.7,2.578,34.443
8551.5,109.03,2.562,24.098
8552,104.78,2.545,20.015
8552.5,99.42,2.528,17.148
8553,95.09,2.516,11.89
8553.5,90.15,2.502,10.571
8554,81.99,2.481,10.165
8554.5,71.55,2.454,6.639
8555,59.9,2.422,8.841
8555.5,44.43,2.381,14.212
8556,40.14,2.371,17.937
8556.5,37.81,2.365,21.874
8557,36.62,2.362,23.934
8557.5,37.97,2.366,20.732
8558,39.89,2.37,19.946
8558.5,39.19,2.368,18.04
8559,38.59,2.367,19.08
8559.5,37.24,2.364,23.219
8560,35.85,2.361,21.779
8560.5,44.36,2.381,15.441
8561,40.68,2.372,17.545
8561.5,40.96,2.373,17.817
8562,43.89,2.38,15.519
8562.5,47.19,2.388,14.857
8563,44.8,2.382,13.838
8563.5,40.69,2.372,19.258
8564,39.37,2.369,20.874
8564.5,40.89,2.373,17.755
8565,40.86,2.372,19.369
8565.5,41.2,2.373,18.833
8566,40.72,2.372,18.222
8566.5,40.21,2.371,18.622
8567,39.72,2.37,19.376
8567.5,38.73,2.367,20.998
8568,38.19,2.366,19.43
8568.5,36.74,2.363,23.822
8569,36.47,2.362,22.709
8569.5,35.88,2.361,24.412
8570,36.61,2.362,23.782
8570.5,32.41,2.353,28.994
8571,31.91,2.352,30.23
8571.5,33.27,2.355,30.225
8572,37.51,2.364,20.731
8572.5,36.18,2.361,24.562
8573,40.48,2.372,18.084
8573.5,37.75,2.365,22.878
8574,36.54,2.362,24.291
